Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-10-14 08:00:00-04:00,1.42,,,ABT
2026-07-16 07:00:00-04:00,1.28,1.31,2.61,ABT
2026-04-16 07:00:00-04:00,1.15,1.15,0.33,ABT
2026-01-22 07:00:00-05:00,1.49,1.5,0.34,ABT
2025-10-15 07:00:00-04:00,1.3,1.3,0.05,ABT
2025-07-17 07:00:00-04:00,1.26,1.26,0.28,ABT
2025-04-16 07:00:00-04:00,1.07,1.09,1.74,ABT
2025-01-22 07:00:00-05:00,1.34,1.34,-0.17,ABT
2024-10-16 07:00:00-04:00,1.2,1.21,0.76,ABT
2024-07-18 07:00:00-04:00,1.1,1.14,3.17,ABT
2024-04-17 07:00:00-04:00,0.95,0.98,2.81,ABT
2024-01-24 07:00:00-05:00,1.19,1.19,0.04,ABT
2023-10-18 07:00:00-04:00,1.1,1.14,3.7,ABT
2023-07-20 07:00:00-04:00,1.05,1.08,2.89,ABT
2023-04-19 07:00:00-04:00,0.99,1.03,4.31,ABT
2023-01-25 07:00:00-05:00,0.94,1.03,9.65,ABT
2022-10-19 07:00:00-04:00,0.94,1.15,22.9,ABT
2022-07-20 07:00:00-04:00,1.14,1.43,25.29,ABT
2022-04-20 07:00:00-04:00,1.46,1.73,18.09,ABT
2022-01-26 07:00:00-05:00,1.21,1.32,9.48,ABT
2021-10-20 07:00:00-04:00,0.95,1.4,47.91,ABT
2021-07-22 07:00:00-04:00,1.02,1.17,14.92,ABT
2021-04-20 07:00:00-04:00,1.27,1.32,3.99,ABT
2021-01-27 07:00:00-05:00,1.35,1.45,7.11,ABT
2020-10-21 07:00:00-04:00,0.91,0.98,8.0,ABT
2020-07-16 07:00:00-04:00,0.42,0.57,36.92,ABT
2020-04-16 08:00:00-04:00,0.61,0.65,7.27,ABT
2020-01-22 07:00:00-05:00,0.95,0.95,0.37,ABT
2019-10-16 07:00:00-04:00,0.84,0.84,-0.16,ABT
2019-07-17 07:00:00-04:00,0.8,0.82,2.23,ABT
2019-04-17 07:00:00-04:00,0.62,0.63,2.13,ABT
2019-01-23 07:00:00-05:00,0.81,0.81,0.17,ABT
2018-10-17 07:00:00-04:00,0.75,0.75,0.58,ABT
2018-07-18 07:00:00-04:00,0.71,0.73,2.86,ABT
2018-04-18 07:00:00-04:00,0.58,0.59,1.85,ABT
2018-01-24 07:00:00-05:00,0.73,0.74,1.17,ABT
2017-10-18 07:00:00-04:00,0.65,0.66,1.05,ABT
2017-07-20 07:00:00-04:00,0.61,0.62,2.45,ABT
2017-04-19 07:00:00-04:00,0.43,0.48,11.51,ABT
2017-01-25 07:00:00-05:00,0.65,0.65,0.64,ABT
2016-10-19 07:00:00-04:00,0.58,0.59,1.44,ABT
2016-07-20 07:00:00-04:00,0.53,0.55,3.17,ABT
2016-04-20 07:00:00-04:00,0.39,0.41,4.45,ABT
2016-01-28 07:00:00-05:00,0.61,0.62,1.72,ABT
2015-10-21 07:00:00-04:00,0.53,0.54,1.22,ABT
2015-07-22 07:00:00-04:00,0.5,0.52,3.53,ABT
2015-04-22 07:00:00-04:00,0.42,0.47,12.72,ABT
2015-01-29 07:00:00-05:00,0.63,0.62,-1.79,ABT
2014-10-22 07:00:00-04:00,0.6,0.62,3.66,ABT
2014-07-16 07:00:00-04:00,0.51,0.54,6.52,ABT
