Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-09-10 16:00:00-04:00,6.08,,,ADBE
2026-06-11 16:00:00-04:00,5.81,5.96,2.5,ADBE
2026-03-12 16:00:00-04:00,5.87,6.06,3.18,ADBE
2025-12-10 16:00:00-05:00,5.4,5.5,1.9,ADBE
2025-09-11 16:00:00-04:00,5.18,5.31,2.48,ADBE
2025-06-12 16:00:00-04:00,4.97,5.06,1.71,ADBE
2025-03-12 16:00:00-04:00,4.97,5.08,2.17,ADBE
2024-12-11 16:00:00-05:00,4.67,4.81,3.01,ADBE
2024-09-12 16:00:00-04:00,4.54,4.65,2.49,ADBE
2024-06-13 16:00:00-04:00,4.4,4.48,1.92,ADBE
2024-03-14 16:00:00-04:00,4.38,4.48,2.23,ADBE
2023-12-13 16:00:00-05:00,4.14,4.27,3.17,ADBE
2023-09-14 16:00:00-04:00,3.98,4.1,3.06,ADBE
2023-06-15 16:00:00-04:00,3.79,3.91,3.22,ADBE
2023-03-15 16:00:00-04:00,3.68,3.8,3.25,ADBE
2022-12-15 16:00:00-05:00,3.5,3.6,2.72,ADBE
2022-09-15 08:00:00-04:00,3.34,3.4,1.66,ADBE
2022-06-16 16:00:00-04:00,3.31,3.35,1.31,ADBE
2022-03-22 16:00:00-04:00,3.34,3.37,0.78,ADBE
2021-12-16 08:00:00-05:00,3.2,3.2,0.04,ADBE
2021-09-21 16:00:00-04:00,3.02,3.11,3.11,ADBE
2021-06-17 16:00:00-04:00,2.82,3.03,7.55,ADBE
2021-03-23 16:00:00-04:00,2.79,3.14,12.68,ADBE
2020-12-10 08:00:00-05:00,2.66,2.81,5.66,ADBE
2020-09-15 16:00:00-04:00,2.41,2.57,6.56,ADBE
2020-06-11 16:00:00-04:00,2.32,2.45,5.68,ADBE
2020-03-12 16:00:00-04:00,2.23,2.27,1.96,ADBE
2019-12-12 16:00:00-05:00,2.26,2.29,1.43,ADBE
2019-09-17 16:00:00-04:00,1.97,2.05,3.86,ADBE
2019-06-18 16:00:00-04:00,1.78,1.83,2.58,ADBE
2019-03-14 16:00:00-04:00,1.62,1.71,5.79,ADBE
2018-12-13 16:00:00-05:00,1.84,1.83,-0.27,ADBE
2018-09-13 16:00:00-04:00,1.69,1.73,2.32,ADBE
2018-06-14 16:00:00-04:00,1.54,1.66,7.63,ADBE
2018-03-15 16:00:00-04:00,1.44,1.55,7.78,ADBE
2017-12-14 16:00:00-05:00,1.16,1.26,8.92,ADBE
2017-09-19 16:00:00-04:00,1.01,1.1,9.2,ADBE
2017-06-20 16:00:00-04:00,0.95,1.02,7.85,ADBE
2017-03-16 16:00:00-04:00,0.87,0.94,7.84,ADBE
2016-12-15 16:00:00-05:00,0.86,0.9,4.46,ADBE
2016-09-20 16:00:00-04:00,0.72,0.75,3.66,ADBE
2016-06-21 16:00:00-04:00,0.68,0.71,4.45,ADBE
2016-03-17 16:00:00-04:00,0.61,0.66,8.65,ADBE
2015-12-10 16:00:00-05:00,0.6,0.62,3.41,ADBE
2015-09-17 16:00:00-04:00,0.5,0.54,8.36,ADBE
2015-06-16 16:00:00-04:00,0.45,0.48,5.99,ADBE
2015-03-17 16:00:00-04:00,0.39,0.44,13.77,ADBE
2014-12-11 16:00:00-05:00,0.3,0.36,21.22,ADBE
2014-09-16 16:00:00-04:00,0.26,0.28,6.25,ADBE
2014-06-17 16:00:00-04:00,0.3,0.37,24.09,ADBE
