Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-07-30 16:00:00-04:00,1.08,,,AEE
2026-05-05 16:00:00-04:00,1.18,1.28,8.16,AEE
2026-02-11 16:00:00-05:00,0.77,0.78,1.44,AEE
2025-11-05 16:00:00-05:00,2.12,2.35,10.95,AEE
2025-07-31 16:00:00-04:00,0.99,1.01,1.71,AEE
2025-05-01 16:00:00-04:00,1.04,1.07,2.75,AEE
2025-02-13 16:00:00-05:00,0.78,0.77,-1.19,AEE
2024-11-06 16:00:00-05:00,1.92,1.87,-2.39,AEE
2024-08-01 16:00:00-04:00,0.94,0.97,3.4,AEE
2024-05-02 17:00:00-04:00,1.08,0.98,-9.22,AEE
2024-02-22 16:00:00-05:00,0.61,0.6,-1.15,AEE
2023-11-08 16:00:00-05:00,1.82,1.87,2.84,AEE
2023-08-02 16:00:00-04:00,0.79,0.9,14.14,AEE
2023-05-04 16:00:00-04:00,0.94,1.0,6.49,AEE
2023-02-15 16:00:00-05:00,0.57,0.63,11.1,AEE
2022-11-03 16:00:00-04:00,1.73,1.74,0.43,AEE
2022-08-04 16:00:00-04:00,0.82,0.8,-2.28,AEE
2022-05-05 17:00:00-04:00,0.97,0.97,-0.15,AEE
2022-02-17 16:00:00-05:00,0.49,0.48,-1.61,AEE
2021-11-03 16:00:00-04:00,1.61,1.65,2.42,AEE
2021-08-05 17:00:00-04:00,0.84,0.8,-5.02,AEE
2021-05-10 16:00:00-04:00,0.75,0.91,21.66,AEE
2021-02-18 17:00:00-05:00,0.42,0.46,10.35,AEE
2020-11-04 17:00:00-05:00,1.47,1.47,0.21,AEE
2020-08-06 16:00:00-04:00,0.88,0.98,11.5,AEE
2020-05-11 16:00:00-04:00,0.71,0.59,-16.61,AEE
2020-02-26 07:00:00-05:00,0.31,0.38,22.03,AEE
2019-11-08 07:00:00-05:00,1.47,1.47,,AEE
2019-08-02 07:00:00-04:00,0.75,0.72,-4.0,AEE
2019-05-09 07:00:00-04:00,0.66,0.78,18.78,AEE
2019-02-14 07:00:00-05:00,0.32,0.28,-11.97,AEE
2018-10-31 07:00:00-04:00,1.32,1.5,13.74,AEE
2018-08-03 07:00:00-04:00,0.78,0.97,23.83,AEE
2018-05-09 07:00:00-04:00,0.58,0.62,6.9,AEE
2018-02-16 07:00:00-05:00,0.39,-0.24,-162.19,AEE
2017-11-03 07:00:00-04:00,1.33,1.24,-6.91,AEE
2017-08-04 07:00:00-04:00,0.74,0.79,6.76,AEE
2017-05-04 07:00:00-04:00,0.4,0.42,4.51,AEE
2017-02-16 07:00:00-05:00,0.15,0.13,-14.05,AEE
2016-11-04 07:00:00-04:00,1.38,1.52,10.18,AEE
2016-08-05 07:00:00-04:00,0.52,0.61,18.43,AEE
2016-05-10 16:00:00-04:00,0.35,0.43,23.35,AEE
2016-02-19 07:00:00-05:00,0.18,0.12,-34.58,AEE
2015-11-06 07:00:00-05:00,1.3,1.41,8.66,AEE
2015-07-31 07:00:00-04:00,0.61,0.61,-0.27,AEE
2015-05-07 07:00:00-04:00,0.38,0.45,18.08,AEE
2015-02-25 07:00:00-05:00,0.15,0.2,29.25,AEE
2014-11-06 07:00:00-05:00,1.2,1.2,-0.2,AEE
2014-08-05 07:00:00-04:00,0.58,0.62,6.94,AEE
2014-05-08 07:00:00-04:00,0.31,0.4,27.61,AEE
