Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-07-30 08:00:00-04:00,1.48,,,AEP
2026-05-05 06:00:00-04:00,1.57,1.64,4.61,AEP
2026-02-12 06:00:00-05:00,1.15,1.19,3.6,AEP
2025-10-29 06:00:00-04:00,1.81,1.8,-0.28,AEP
2025-07-30 02:00:00-04:00,1.27,1.43,12.83,AEP
2025-05-06 07:00:00-04:00,1.4,1.54,9.86,AEP
2025-02-13 06:00:00-05:00,1.24,1.24,-0.19,AEP
2024-11-06 06:00:00-05:00,1.8,1.85,3.05,AEP
2024-07-30 07:00:00-04:00,1.23,1.25,1.3,AEP
2024-04-30 07:00:00-04:00,1.26,1.27,1.06,AEP
2024-02-26 16:00:00-05:00,1.26,1.23,-2.28,AEP
2023-11-02 06:00:00-04:00,1.7,1.77,4.01,AEP
2023-07-27 06:00:00-04:00,1.14,1.13,-0.56,AEP
2023-05-04 06:00:00-04:00,1.12,1.11,-0.82,AEP
2023-02-23 06:00:00-05:00,0.99,1.05,5.77,AEP
2022-10-27 07:00:00-04:00,1.56,1.62,3.6,AEP
2022-07-27 07:00:00-04:00,1.19,1.2,0.92,AEP
2022-04-28 06:00:00-04:00,1.2,1.22,2.07,AEP
2022-02-24 06:00:00-05:00,0.92,0.98,6.21,AEP
2021-10-28 06:00:00-04:00,1.45,1.43,-1.28,AEP
2021-07-22 06:00:00-04:00,1.14,1.18,3.31,AEP
2021-04-22 06:00:00-04:00,1.17,1.15,-1.44,AEP
2021-02-25 07:00:00-05:00,0.79,0.87,10.67,AEP
2020-10-22 06:00:00-04:00,1.48,1.47,-0.48,AEP
2020-08-06 06:00:00-04:00,1.05,1.08,3.3,AEP
2020-05-06 07:00:00-04:00,1.1,1.02,-7.28,AEP
2020-02-20 06:00:00-05:00,0.58,0.6,3.42,AEP
2019-10-24 06:00:00-04:00,1.31,1.46,11.33,AEP
2019-07-25 06:00:00-04:00,0.97,1.0,2.95,AEP
2019-04-25 06:00:00-04:00,1.11,1.19,7.37,AEP
2019-01-24 06:00:00-05:00,0.71,0.72,1.53,AEP
2018-10-25 06:00:00-04:00,1.21,1.26,4.26,AEP
2018-07-25 06:00:00-04:00,0.88,1.01,14.86,AEP
2018-04-26 06:00:00-04:00,0.98,0.96,-2.29,AEP
2018-01-25 06:00:00-05:00,0.79,0.85,7.8,AEP
2017-10-26 06:00:00-04:00,1.16,1.1,-5.27,AEP
2017-07-27 06:00:00-04:00,0.82,0.75,-8.16,AEP
2017-04-27 06:00:00-04:00,0.95,0.96,1.33,AEP
2017-01-26 06:00:00-05:00,0.55,0.67,21.59,AEP
2016-11-01 06:00:00-04:00,1.22,1.3,6.44,AEP
2016-07-28 06:00:00-04:00,0.9,0.95,6.07,AEP
2016-04-28 06:00:00-04:00,1.04,1.02,-1.91,AEP
2016-01-28 06:00:00-05:00,0.5,0.48,-3.25,AEP
2015-10-22 06:00:00-04:00,1.01,1.06,4.88,AEP
2015-07-23 06:00:00-04:00,0.81,0.88,9.15,AEP
2015-04-23 06:00:00-04:00,1.09,1.28,17.28,AEP
2015-01-28 06:00:00-05:00,0.49,0.48,-2.69,AEP
2014-10-23 06:00:00-04:00,1.01,1.01,-0.03,AEP
2014-07-25 06:00:00-04:00,0.75,0.8,6.54,AEP
2014-04-25 06:00:00-04:00,0.92,1.15,24.54,AEP
