Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-08-06 16:00:00-04:00,1.93,,,AIG
2026-04-30 16:00:00-04:00,1.88,2.11,11.96,AIG
2026-02-10 16:00:00-05:00,1.9,1.96,3.06,AIG
2025-11-04 16:00:00-05:00,1.71,2.2,28.5,AIG
2025-08-06 16:00:00-04:00,1.69,1.98,17.24,AIG
2025-05-01 16:00:00-04:00,0.97,1.16,20.17,AIG
2025-02-11 16:00:00-05:00,1.23,1.3,5.97,AIG
2024-11-04 16:00:00-05:00,1.3,0.71,-45.24,AIG
2024-07-31 16:00:00-04:00,1.3,1.16,-10.88,AIG
2024-05-01 16:00:00-04:00,1.59,1.74,9.65,AIG
2024-02-13 16:00:00-05:00,1.64,1.79,9.19,AIG
2023-11-01 17:00:00-04:00,1.48,1.61,8.66,AIG
2023-08-01 16:00:00-04:00,1.58,1.75,10.85,AIG
2023-05-04 16:00:00-04:00,1.42,1.63,14.47,AIG
2023-02-15 16:00:00-05:00,1.28,1.36,6.28,AIG
2022-11-01 16:00:00-04:00,0.52,0.66,26.76,AIG
2022-08-08 16:00:00-04:00,1.14,1.19,3.94,AIG
2022-05-03 16:00:00-04:00,1.17,1.3,11.23,AIG
2022-02-16 16:00:00-05:00,1.18,1.58,33.44,AIG
2021-11-04 16:00:00-04:00,0.89,0.97,9.59,AIG
2021-08-05 16:00:00-04:00,1.2,1.52,26.69,AIG
2021-05-06 16:00:00-04:00,0.98,1.05,7.36,AIG
2021-02-16 16:00:00-05:00,0.93,0.94,1.19,AIG
2020-11-05 16:00:00-05:00,0.55,0.81,45.99,AIG
2020-08-03 16:00:00-04:00,0.56,0.66,17.99,AIG
2020-05-04 17:00:00-04:00,0.82,0.11,-86.51,AIG
2020-02-13 06:00:00-05:00,1.01,1.03,2.47,AIG
2019-11-01 06:00:00-04:00,1.0,0.56,-44.25,AIG
2019-08-07 16:00:00-04:00,1.16,1.43,23.64,AIG
2019-05-06 16:00:00-04:00,1.06,1.58,49.49,AIG
2019-02-13 16:00:00-05:00,0.45,-0.63,-240.64,AIG
2018-10-31 16:00:00-04:00,0.07,-0.34,-572.35,AIG
2018-08-02 16:00:00-04:00,1.21,1.05,-13.15,AIG
2018-05-02 16:00:00-04:00,1.26,1.04,-17.73,AIG
2018-02-08 16:00:00-05:00,0.75,0.57,-23.89,AIG
2017-11-02 16:00:00-04:00,-0.79,-1.22,-55.03,AIG
2017-08-02 16:00:00-04:00,1.2,1.53,27.97,AIG
2017-05-03 16:00:00-04:00,1.07,1.36,26.74,AIG
2017-02-14 16:00:00-05:00,-0.57,-2.72,-381.04,AIG
2016-11-02 16:00:00-04:00,1.21,1.0,-17.07,AIG
2016-08-02 16:00:00-04:00,0.94,0.98,4.35,AIG
2016-05-02 16:00:00-04:00,1.0,0.65,-34.83,AIG
2016-02-11 16:00:00-05:00,-0.93,-1.1,-17.86,AIG
2015-11-02 16:00:00-05:00,1.01,0.52,-48.75,AIG
2015-08-03 16:00:00-04:00,1.22,1.39,14.08,AIG
2015-04-30 16:00:00-04:00,1.19,1.22,2.56,AIG
2015-02-12 16:00:00-05:00,1.05,0.97,-7.19,AIG
2014-11-03 16:00:00-05:00,1.09,1.21,11.14,AIG
2014-08-04 16:00:00-04:00,1.05,1.25,19.46,AIG
2014-05-05 16:00:00-04:00,1.06,1.21,13.92,AIG
