Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-08-05 16:00:00-04:00,6.04,,,ALL
2026-04-29 16:00:00-04:00,7.24,10.65,47.01,ALL
2026-02-04 16:00:00-05:00,10.21,14.37,40.74,ALL
2025-11-05 16:00:00-05:00,7.57,13.95,84.4,ALL
2025-07-30 16:00:00-04:00,3.87,7.76,100.72,ALL
2025-04-30 16:00:00-04:00,2.53,3.53,39.33,ALL
2025-02-05 16:00:00-05:00,6.15,7.07,14.96,ALL
2024-10-30 16:00:00-04:00,1.93,4.39,128.05,ALL
2024-07-31 16:00:00-04:00,0.36,1.61,346.5,ALL
2024-05-01 16:00:00-04:00,3.94,5.13,30.29,ALL
2024-02-07 16:00:00-05:00,3.94,5.82,47.88,ALL
2023-11-01 16:00:00-04:00,0.49,0.81,63.67,ALL
2023-08-01 16:00:00-04:00,-3.96,-4.42,-11.56,ALL
2023-05-03 16:00:00-04:00,-1.01,-1.3,-28.27,ALL
2023-02-01 16:00:00-05:00,-1.36,-1.36,0.07,ALL
2022-11-02 16:00:00-04:00,-1.59,-1.56,1.74,ALL
2022-08-03 16:00:00-04:00,-1.15,-0.76,34.19,ALL
2022-05-04 16:00:00-04:00,2.95,2.58,-12.57,ALL
2022-02-02 16:00:00-05:00,2.77,2.75,-0.83,ALL
2021-11-03 16:00:00-04:00,1.74,0.73,-58.07,ALL
2021-08-04 16:00:00-04:00,3.17,3.79,19.46,ALL
2021-05-05 16:00:00-04:00,3.94,6.11,55.07,ALL
2021-02-03 16:00:00-05:00,3.82,5.87,53.62,ALL
2020-11-04 16:00:00-05:00,1.76,2.94,67.12,ALL
2020-08-04 16:00:00-04:00,1.62,2.46,52.13,ALL
2020-05-05 16:00:00-04:00,3.31,3.54,6.86,ALL
2020-02-04 16:00:00-05:00,3.21,3.13,-2.59,ALL
2019-10-29 19:00:00-04:00,2.57,2.84,10.42,ALL
2019-07-30 16:00:00-04:00,1.55,2.18,40.61,ALL
2019-05-01 16:00:00-04:00,2.32,2.3,-0.73,ALL
2019-02-05 16:00:00-05:00,1.16,1.24,6.86,ALL
2018-10-31 16:00:00-04:00,2.25,1.93,-14.36,ALL
2018-08-01 16:00:00-04:00,1.5,1.9,26.63,ALL
2018-05-01 17:00:00-04:00,2.64,2.96,12.05,ALL
2018-02-07 16:00:00-05:00,1.53,2.09,36.68,ALL
2017-11-01 16:00:00-04:00,0.83,1.6,92.8,ALL
2017-08-01 16:00:00-04:00,0.9,1.38,52.98,ALL
2017-05-02 16:00:00-04:00,1.1,1.64,48.76,ALL
2017-02-01 17:00:00-05:00,1.61,2.17,35.1,ALL
2016-11-02 16:00:00-04:00,1.26,1.26,0.29,ALL
2016-08-03 16:00:00-04:00,0.58,0.62,6.1,ALL
2016-05-04 16:00:00-04:00,0.67,0.84,24.81,ALL
2016-02-03 16:00:00-05:00,1.33,1.6,20.13,ALL
2015-11-02 16:00:00-05:00,1.3,1.52,17.09,ALL
2015-08-03 16:00:00-04:00,1.02,0.63,-38.44,ALL
2015-05-05 16:00:00-04:00,1.42,1.46,2.83,ALL
2015-02-04 16:00:00-05:00,1.68,1.72,2.55,ALL
2014-10-29 16:00:00-04:00,1.32,1.39,5.0,ALL
2014-07-30 16:00:00-04:00,0.68,1.01,48.04,ALL
2014-05-06 16:00:00-04:00,1.18,1.3,9.93,ALL
