Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-07-30 08:00:00-04:00,0.92,,,AOS
2026-04-30 06:00:00-04:00,0.94,0.85,-9.91,AOS
2026-01-29 06:00:00-05:00,0.84,0.9,6.95,AOS
2025-10-28 06:00:00-04:00,0.91,0.94,3.62,AOS
2025-07-24 06:00:00-04:00,0.99,1.07,7.93,AOS
2025-04-29 06:00:00-04:00,0.91,0.95,4.28,AOS
2025-01-30 06:00:00-05:00,0.89,0.85,-4.77,AOS
2024-10-22 06:00:00-04:00,0.82,0.82,-0.05,AOS
2024-07-23 06:00:00-04:00,1.06,1.06,0.01,AOS
2024-04-25 06:00:00-04:00,0.99,1.0,1.36,AOS
2024-01-30 06:00:00-05:00,0.96,0.97,1.4,AOS
2023-10-26 06:00:00-04:00,0.79,0.9,13.36,AOS
2023-07-27 06:00:00-04:00,0.9,1.01,11.76,AOS
2023-04-27 06:00:00-04:00,0.78,0.94,20.11,AOS
2023-01-31 06:00:00-05:00,0.79,0.86,8.88,AOS
2022-10-27 06:00:00-04:00,0.69,0.69,-0.03,AOS
2022-07-28 06:00:00-04:00,0.81,0.82,1.28,AOS
2022-04-28 06:00:00-04:00,0.75,0.77,2.81,AOS
2022-01-27 06:00:00-05:00,0.77,0.87,13.22,AOS
2021-10-28 06:00:00-04:00,0.68,0.82,20.43,AOS
2021-07-29 06:00:00-04:00,0.65,0.73,12.2,AOS
2021-04-29 06:00:00-04:00,0.57,0.6,5.27,AOS
2021-01-28 06:00:00-05:00,0.58,0.74,26.54,AOS
2020-10-29 06:00:00-04:00,0.52,0.66,27.66,AOS
2020-07-30 06:00:00-04:00,0.42,0.45,7.34,AOS
2020-05-05 07:00:00-04:00,0.35,0.32,-8.57,AOS
2020-01-28 06:00:00-05:00,0.59,0.56,-5.81,AOS
2019-10-29 06:00:00-04:00,0.53,0.53,-0.38,AOS
2019-07-30 06:00:00-04:00,0.63,0.61,-2.66,AOS
2019-04-30 06:00:00-04:00,0.57,0.53,-7.5,AOS
2019-01-29 06:00:00-05:00,0.71,0.74,4.52,AOS
2018-10-30 06:00:00-04:00,0.63,0.61,-2.66,AOS
2018-07-25 06:00:00-04:00,0.62,0.66,6.45,AOS
2018-04-25 06:00:00-04:00,0.58,0.6,4.05,AOS
2018-01-30 06:00:00-05:00,0.56,0.6,6.62,AOS
2017-10-25 06:00:00-04:00,0.53,0.54,1.54,AOS
2017-07-26 06:00:00-04:00,0.53,0.53,0.47,AOS
2017-04-27 06:00:00-04:00,0.47,0.5,6.57,AOS
2017-02-02 06:00:00-05:00,0.46,0.47,2.17,AOS
2016-10-26 06:00:00-04:00,0.45,0.47,4.06,AOS
2016-07-26 06:00:00-04:00,0.45,0.49,8.17,AOS
2016-04-27 06:00:00-04:00,0.38,0.42,8.5,AOS
2016-01-29 06:00:00-05:00,0.42,0.45,7.34,AOS
2015-10-21 06:00:00-04:00,0.39,0.41,4.13,AOS
2015-07-23 07:00:00-04:00,0.33,0.4,20.03,AOS
2015-04-24 07:00:00-04:00,0.31,0.33,4.42,AOS
2015-01-27 07:00:00-05:00,0.3,0.32,5.11,AOS
2014-10-21 06:00:00-04:00,0.28,0.3,5.17,AOS
2014-07-22 07:00:00-04:00,0.3,0.33,10.18,AOS
2014-04-22 07:00:00-04:00,0.26,0.27,2.41,AOS
