Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-08-03 16:00:00-04:00,0.12,,,ARE
2026-04-27 16:00:00-04:00,0.14,2.1,1359.96,ARE
2026-01-26 16:00:00-05:00,0.3,-6.35,-2200.77,ARE
2025-10-27 16:00:00-04:00,0.39,0.5,28.21,ARE
2025-07-21 16:00:00-04:00,0.63,0.48,-24.02,ARE
2025-04-28 16:00:00-04:00,0.6,0.51,-15.52,ARE
2025-01-27 16:00:00-05:00,0.9,0.69,-22.99,ARE
2024-10-21 16:00:00-04:00,0.92,0.87,-5.68,ARE
2024-07-22 16:00:00-04:00,0.61,0.88,45.02,ARE
2024-04-22 16:00:00-04:00,0.63,0.89,42.12,ARE
2024-01-29 16:00:00-05:00,0.8,0.82,2.11,ARE
2023-10-23 16:00:00-04:00,0.88,0.87,-1.44,ARE
2023-07-24 16:00:00-04:00,0.39,0.51,31.47,ARE
2023-04-24 16:00:00-04:00,0.79,0.83,4.59,ARE
2023-01-30 16:00:00-05:00,0.74,0.31,-57.9,ARE
2022-10-24 16:00:00-04:00,0.76,0.35,-53.96,ARE
2022-07-25 16:00:00-04:00,0.67,0.78,17.01,ARE
2022-04-25 16:00:00-04:00,0.88,0.71,-19.7,ARE
2022-01-31 16:00:00-05:00,0.56,0.58,3.57,ARE
2021-10-25 16:00:00-04:00,0.75,0.7,-6.67,ARE
2021-07-26 16:00:00-04:00,0.61,0.73,20.66,ARE
2021-04-26 16:00:00-04:00,0.58,0.72,24.14,ARE
2021-02-01 16:00:00-05:00,0.65,0.62,-3.86,ARE
2020-10-26 16:00:00-04:00,0.84,0.56,-32.95,ARE
2020-07-27 16:00:00-04:00,0.54,0.59,10.28,ARE
2020-04-27 17:00:00-04:00,0.74,0.46,-38.12,ARE
2020-02-03 16:00:00-05:00,0.61,0.64,4.38,ARE
2019-10-28 16:00:00-04:00,0.2,0.62,209.1,ARE
2019-07-29 16:00:00-04:00,1.0,0.58,-41.71,ARE
2019-04-29 16:00:00-04:00,0.6,0.55,-8.08,ARE
2019-02-04 16:00:00-05:00,0.55,0.41,-26.56,ARE
2018-10-29 16:00:00-04:00,0.57,0.83,47.2,ARE
2018-07-30 16:00:00-04:00,0.55,0.45,-17.9,ARE
2018-04-30 16:00:00-04:00,0.51,0.47,-8.46,ARE
2018-01-29 16:00:00-05:00,0.4,0.45,11.66,ARE
2017-10-30 16:00:00-04:00,0.42,0.4,-5.82,ARE
2017-07-31 16:00:00-04:00,0.41,0.4,-2.9,ARE
2017-05-01 16:00:00-04:00,0.41,0.3,-26.88,ARE
2017-01-30 16:00:00-05:00,0.41,-0.16,-139.41,ARE
2016-10-31 16:00:00-04:00,0.33,0.21,-36.02,ARE
2016-08-01 16:00:00-04:00,0.39,0.39,-0.47,ARE
2016-05-02 16:00:00-04:00,0.35,0.35,0.16,ARE
2016-02-01 16:00:00-05:00,0.48,0.45,-7.43,ARE
2015-11-02 16:00:00-05:00,0.47,0.46,-2.54,ARE
2015-07-27 16:00:00-04:00,0.47,0.44,-6.56,ARE
2015-04-27 16:00:00-04:00,0.43,0.45,4.18,ARE
2015-02-02 16:00:00-05:00,0.42,0.4,-5.41,ARE
2014-11-03 08:00:00-05:00,0.37,0.4,7.45,ARE
2014-07-28 16:00:00-04:00,0.46,0.38,-17.46,ARE
2014-05-05 16:00:00-04:00,0.47,0.46,-1.25,ARE
