Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-10-23 08:00:00-04:00,4.6,,,AXP
2026-07-24 07:00:00-04:00,4.4,4.53,2.88,AXP
2026-04-23 07:00:00-04:00,3.99,4.28,7.18,AXP
2026-01-30 07:00:00-05:00,3.55,3.53,-0.66,AXP
2025-10-17 07:00:00-04:00,3.98,4.14,4.02,AXP
2025-07-18 07:00:00-04:00,3.88,4.08,5.09,AXP
2025-04-17 07:00:00-04:00,3.47,3.64,4.8,AXP
2025-01-24 07:00:00-05:00,3.03,3.04,0.17,AXP
2024-10-18 07:00:00-04:00,3.28,3.49,6.49,AXP
2024-07-19 07:00:00-04:00,3.26,4.15,27.11,AXP
2024-04-19 10:00:00-04:00,2.98,3.33,11.68,AXP
2024-01-26 07:00:00-05:00,2.65,2.62,-1.01,AXP
2023-10-20 07:00:00-04:00,2.95,3.3,11.87,AXP
2023-07-21 07:00:00-04:00,2.82,2.89,2.64,AXP
2023-04-20 07:00:00-04:00,2.67,2.4,-10.02,AXP
2023-01-27 07:00:00-05:00,2.24,2.07,-7.45,AXP
2022-10-21 13:00:00-04:00,2.41,2.47,2.29,AXP
2022-07-22 07:00:00-04:00,2.41,2.57,6.64,AXP
2022-04-22 07:00:00-04:00,2.47,2.73,10.73,AXP
2022-01-25 07:00:00-05:00,1.84,2.18,18.71,AXP
2021-10-22 07:00:00-04:00,1.75,2.27,29.38,AXP
2021-07-23 07:00:00-04:00,1.63,2.8,72.14,AXP
2021-04-23 07:00:00-04:00,1.61,2.74,69.77,AXP
2021-01-26 07:00:00-05:00,1.3,1.76,35.17,AXP
2020-10-23 07:00:00-04:00,1.35,1.3,-3.84,AXP
2020-07-24 07:00:00-04:00,-0.06,0.29,572.54,AXP
2020-04-24 15:00:00-04:00,1.67,0.41,-75.48,AXP
2020-01-24 07:00:00-05:00,2.01,2.03,0.91,AXP
2019-10-18 07:00:00-04:00,2.02,2.08,2.74,AXP
2019-07-19 07:00:00-04:00,2.03,2.07,1.93,AXP
2019-04-18 07:00:00-04:00,1.97,2.01,1.97,AXP
2019-01-17 16:00:00-05:00,1.8,2.32,29.14,AXP
2018-10-18 16:00:00-04:00,1.77,1.88,6.5,AXP
2018-07-18 16:00:00-04:00,1.82,1.84,1.32,AXP
2018-04-18 16:00:00-04:00,1.71,1.86,8.74,AXP
2018-01-18 16:00:00-05:00,1.54,1.58,2.54,AXP
2017-10-18 17:00:00-04:00,1.48,1.63,10.65,AXP
2017-07-19 16:00:00-04:00,1.44,1.47,2.23,AXP
2017-04-19 16:00:00-04:00,1.26,1.34,5.94,AXP
2017-01-19 16:00:00-05:00,0.99,0.91,-7.88,AXP
2016-10-19 16:00:00-04:00,0.96,1.24,29.78,AXP
2016-07-20 16:00:00-04:00,1.89,2.1,11.08,AXP
2016-04-20 16:00:00-04:00,1.35,1.5,11.83,AXP
2016-01-21 16:00:00-05:00,1.12,1.23,9.66,AXP
2015-10-21 16:00:00-04:00,1.31,1.24,-5.51,AXP
2015-07-22 16:00:00-04:00,1.32,1.42,7.54,AXP
2015-04-16 16:00:00-04:00,1.36,1.48,8.59,AXP
2015-01-21 16:00:00-05:00,1.38,1.39,0.6,AXP
2014-10-15 16:00:00-04:00,1.36,1.4,2.86,AXP
2014-07-29 16:00:00-04:00,1.38,1.43,3.82,AXP
